id,company_id,technology_id
1,1,9
2,2,9
3,3,9
4,4,9
5,5,6
6,6,9
7,7,6
8,8,6
9,9,2
10,10,9
11,11,12
12,12,9
13,13,9
14,14,9
15,15,9
16,16,9
17,17,9
18,18,9
19,19,9
20,20,9
21,21,9
22,22,9
23,23,9
24,24,9
25,25,9
26,26,9
27,27,9
28,28,9
29,29,9
30,30,9
31,31,9
32,32,9
33,33,9
34,34,9
35,35,9
36,36,9
37,37,9
38,38,9
39,39,9
40,40,9
41,41,9
42,42,9
43,43,9
44,44,9
45,45,9
46,46,9
47,47,9
48,48,9
49,49,9
50,50,9
51,51,9
52,52,9
53,53,9
54,54,9
55,55,9
56,56,9
57,57,9
58,58,9
59,59,9
60,60,9
61,61,9
62,62,9
63,63,9
64,64,9
65,65,9
66,66,9
67,67,9
68,68,9
69,69,9
70,70,9
71,71,9
72,72,9
73,73,9
74,74,9
75,75,9
76,76,9
77,77,9
78,78,9
79,79,9
80,80,9
81,81,9
82,82,9
83,83,9
84,84,9
85,85,9
86,86,9
87,87,9
88,88,9
89,89,9
90,90,9
91,91,9
92,92,9
93,93,9
94,94,9
95,95,9
96,96,9
97,97,9
98,98,9
99,99,9
100,100,6
101,101,6
102,102,6
103,103,6
104,104,6
105,105,6
106,106,6
107,107,6
108,108,6
109,109,6
110,110,6
111,111,6
112,112,6
113,113,6
114,114,6
115,115,6
116,116,6
117,117,6
118,118,6
119,119,6
120,120,6
121,121,6
122,122,6
123,123,6
124,124,6
125,125,6
126,126,6
127,127,6
128,128,6
129,129,6
130,130,6
131,131,6
132,132,6
133,133,6
134,134,6
135,135,6
136,136,6
137,137,6
138,138,6
139,139,6
140,140,6
141,141,6
142,142,6
143,143,6
144,144,6
145,145,6
146,146,6
147,147,6
148,148,6
149,149,6
150,150,6
151,151,6
152,152,6
153,153,6
154,154,6
155,155,6
156,156,6
157,157,6
158,158,6
159,159,6
160,160,6
161,161,6
162,162,6
163,163,6
164,124,11
165,134,5
166,148,5
167,138,6
168,126,5
