id,company_id,industry_id
1,1,5
2,2,5
3,3,5
4,4,5
5,5,5
6,6,5
7,7,5
8,8,6
9,9,5
10,10,5
11,11,5
12,12,5
13,13,5
14,14,5
15,15,5
16,16,5
17,17,5
18,18,11
19,19,5
20,20,5
21,21,5
22,22,5
23,23,5
24,24,5
25,25,5
26,26,3
27,27,5
28,28,5
29,29,6
30,30,5
31,31,5
32,32,5
33,33,5
34,34,5
35,35,5
36,36,5
37,37,5
38,38,5
39,39,5
40,40,5
41,41,5
42,42,5
43,43,5
44,44,5
45,45,5
46,46,5
47,47,5
48,48,4
49,49,5
50,50,5
51,51,5
52,52,5
53,53,5
54,54,5
55,55,5
56,56,5
57,57,5
58,58,5
59,59,5
60,60,5
61,61,5
62,62,5
63,63,5
64,64,5
65,65,5
66,66,5
67,67,5
68,68,5
69,69,5
70,70,5
71,71,5
72,72,5
73,73,5
74,74,5
75,75,5
76,76,5
77,77,5
78,78,6
79,79,5
80,80,5
81,81,5
82,82,5
83,83,3
84,84,5
85,85,5
86,86,5
87,87,5
88,88,5
89,89,5
90,90,5
91,91,5
92,92,5
93,93,5
94,94,5
95,95,5
96,96,5
97,97,3
98,98,5
99,99,1
100,100,1
101,101,1
102,102,1
103,103,1
104,104,1
105,105,1
106,106,1
107,107,1
108,108,1
109,109,1
110,110,1
111,111,1
112,112,1
113,113,1
114,114,1
115,115,1
116,116,1
117,117,1
118,118,1
119,119,1
120,120,1
121,121,1
122,122,1
123,123,1
124,124,1
125,125,1
126,126,1
127,127,1
128,128,1
129,129,1
130,130,1
131,131,1
132,132,1
133,133,1
134,134,1
135,135,1
136,136,1
137,137,1
138,138,1
139,139,1
140,140,1
141,141,1
142,142,1
143,143,1
144,144,1
145,145,1
146,146,1
147,147,1
148,148,1
149,149,1
150,150,1
151,151,1
152,152,1
153,153,1
154,154,1
155,155,1
156,156,1
157,157,1
158,158,1
159,159,1
160,160,1
161,161,1
162,162,1
163,163,1
164,2,19
